time,symbol,signal,action,price,equity,lots,sl_pips,tp_pips,order_result
2025-12-01 21:04:11.622081,USDJPYm,1,BUY,155.433,10023.64,0.01,40,2,"OrderSendResult(retcode=10009, deal=1577977792, order=2017079789, volume=0.01, price=155.451, bid=155.433, ask=155.451, comment='Phase4_Bot', request_id=4171122794, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.451, stoplimit=0.0, sl=155.051, tp=155.471, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 21:04:42.534344,USDJPYm,1,BUY,155.439,10023.8,0.01,40,2,"OrderSendResult(retcode=10009, deal=1577978963, order=2017081029, volume=0.01, price=155.44899999999998, bid=155.439, ask=155.44899999999998, comment='Phase4_Bot', request_id=4171122795, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.449, stoplimit=0.0, sl=155.049, tp=155.46900000000002, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 21:05:13.470051,USDJPYm,0,,155.431,10023.32,0,0,0,
2025-12-01 21:05:43.501411,USDJPYm,0,,155.439,10023.74,0,0,0,
2025-12-01 21:06:13.526803,USDJPYm,0,,155.445,10024.04,0,0,0,
2025-12-01 21:06:43.556305,USDJPYm,0,,155.448,10024.2,0,0,0,
2025-12-01 21:07:13.584848,USDJPYm,0,,155.442,10023.89,0,0,0,
2025-12-01 21:07:43.630733,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:08:13.673084,USDJPYm,0,,155.433,10023.42,0,0,0,
2025-12-01 21:08:43.710100,USDJPYm,0,,155.437,10023.64,0,0,0,
2025-12-01 21:09:13.736839,USDJPYm,0,,155.437,10023.64,0,0,0,
2025-12-01 21:09:43.772011,USDJPYm,0,,155.437,10023.64,0,0,0,
2025-12-01 21:10:13.805338,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:10:43.861652,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:11:13.886655,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:11:43.916346,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:12:13.955687,USDJPYm,0,,155.438,10023.69,0,0,0,
2025-12-01 21:12:43.994342,USDJPYm,0,,155.438,10023.69,0,0,0,
